version,term_localName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-SortingName-2024-11-13,DataSet-Owner-SortingName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-2024-11-13,DataSet-Owner-AtomisedName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-InheritedName-2024-11-13,DataSet-Owner-InheritedName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-Prefix-2024-11-13,DataSet-Owner-AtomisedName-Prefix
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-AtomisedName-Suffix-2024-11-13,DataSet-Owner-AtomisedName-Suffix
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-GivenNames-2024-11-13,DataSet-Owner-GivenNames
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-PreferredName-2024-11-13,DataSet-Owner-PreferredName
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Roles-2024-11-13,DataSet-Owner-Roles
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Role-2024-11-13,DataSet-Owner-Role
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Role-@language-2024-11-13,DataSet-Owner-Role-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Addresses-2024-11-13,DataSet-Owner-Addresses
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Address-2024-11-13,DataSet-Owner-Address
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Address-@preferred-2024-11-13,DataSet-Owner-Address-@preferred
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Address-@language-2024-11-13,DataSet-Owner-Address-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-TelephoneNumbers-2024-11-13,DataSet-Owner-TelephoneNumbers
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-TelephoneNumber-2024-11-13,DataSet-Owner-TelephoneNumber
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-TelephoneNumber-@preferred-2024-11-13,DataSet-Owner-TelephoneNumber-@preferred
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Number-2024-11-13,DataSet-Owner-Number
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-Device-2024-11-13,DataSet-Owner-Device
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-UsageNotes-2024-11-13,DataSet-Owner-UsageNotes
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-UsageNotes-@language-2024-11-13,DataSet-Owner-UsageNotes-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-EmailAddresses-2024-11-13,DataSet-Owner-EmailAddresses
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-EmailAddress-2024-11-13,DataSet-Owner-EmailAddress
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-EmailAddress-@preferred-2024-11-13,DataSet-Owner-EmailAddress-@preferred
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-URIs-2024-11-13,DataSet-Owner-URIs
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-URI-2024-11-13,DataSet-Owner-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-URI-@preferred-2024-11-13,DataSet-Owner-URI-@preferred
http://rs.tdwg.org/abcd2/terms/version/DataSet-Owner-LogoURI-2024-11-13,DataSet-Owner-LogoURI
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRStatements-2024-11-13,DataSet-IPRStatements
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclarations-2024-11-13,DataSet-IPRDeclarations
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclaration-2024-11-13,DataSet-IPRDeclaration
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclaration-@language-2024-11-13,DataSet-IPRDeclaration-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclaration-Text-2024-11-13,DataSet-IPRDeclaration-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclaration-Details-2024-11-13,DataSet-IPRDeclaration-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-IPRDeclaration-URI-2024-11-13,DataSet-IPRDeclaration-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyrights-2024-11-13,DataSet-Copyrights
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyright-2024-11-13,DataSet-Copyright
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyright-@language-2024-11-13,DataSet-Copyright-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyright-Text-2024-11-13,DataSet-Copyright-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyright-Details-2024-11-13,DataSet-Copyright-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-Copyright-URI-2024-11-13,DataSet-Copyright-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Licenses-2024-11-13,DataSet-Licenses
http://rs.tdwg.org/abcd2/terms/version/DataSet-License-2024-11-13,DataSet-License
http://rs.tdwg.org/abcd2/terms/version/DataSet-License-@language-2024-11-13,DataSet-License-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-License-Text-2024-11-13,DataSet-License-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-License-Details-2024-11-13,DataSet-License-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-License-URI-2024-11-13,DataSet-License-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatements-2024-11-13,DataSet-TermsOfUseStatements
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatement-2024-11-13,DataSet-TermsOfUseStatement
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatement-@language-2024-11-13,DataSet-TermsOfUseStatement-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatement-Text-2024-11-13,DataSet-TermsOfUseStatement-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatement-Details-2024-11-13,DataSet-TermsOfUseStatement-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-TermsOfUseStatement-URI-2024-11-13,DataSet-TermsOfUseStatement-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimers-2024-11-13,DataSet-Disclaimers
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimer-2024-11-13,DataSet-Disclaimer
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimer-@language-2024-11-13,DataSet-Disclaimer-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimer-Text-2024-11-13,DataSet-Disclaimer-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimer-Details-2024-11-13,DataSet-Disclaimer-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-Disclaimer-URI-2024-11-13,DataSet-Disclaimer-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgements-2024-11-13,DataSet-Acknowledgements
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgement-2024-11-13,DataSet-Acknowledgement
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgement-@language-2024-11-13,DataSet-Acknowledgement-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgement-Text-2024-11-13,DataSet-Acknowledgement-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgement-Details-2024-11-13,DataSet-Acknowledgement-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-Acknowledgement-URI-2024-11-13,DataSet-Acknowledgement-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citations-2024-11-13,DataSet-Citations
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citation-2024-11-13,DataSet-Citation
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citation-@language-2024-11-13,DataSet-Citation-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citation-Text-2024-11-13,DataSet-Citation-Text
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citation-Details-2024-11-13,DataSet-Citation-Details
http://rs.tdwg.org/abcd2/terms/version/DataSet-Citation-URI-2024-11-13,DataSet-Citation-URI
http://rs.tdwg.org/abcd2/terms/version/DataSet-InformationWithheld-2024-11-13,DataSet-InformationWithheld
http://rs.tdwg.org/abcd2/terms/version/DataSet-InformationWithheld-@language-2024-11-13,DataSet-InformationWithheld-@language
http://rs.tdwg.org/abcd2/terms/version/DataSet-DirectAccessURI-2024-11-13,DataSet-DirectAccessURI
http://rs.tdwg.org/abcd2/terms/version/Units-2024-11-13,Units
http://rs.tdwg.org/abcd2/terms/version/Unit-2024-11-13,Unit
http://rs.tdwg.org/abcd2/terms/version/UnitGUID-2024-11-13,UnitGUID
http://rs.tdwg.org/abcd2/terms/version/SourceInstitutionID-2024-11-13,SourceInstitutionID
http://rs.tdwg.org/abcd2/terms/version/SourceID-2024-11-13,SourceID
http://rs.tdwg.org/abcd2/terms/version/UnitID-2024-11-13,UnitID
http://rs.tdwg.org/abcd2/terms/version/UnitIDNumeric-2024-11-13,UnitIDNumeric
http://rs.tdwg.org/abcd2/terms/version/Unit-LastEditor-2024-11-13,Unit-LastEditor
http://rs.tdwg.org/abcd2/terms/version/Unit-DateLastEdited-2024-11-13,Unit-DateLastEdited
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-2024-11-13,Unit-Owner
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-2024-11-13,Unit-Owner-Organisation
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-OrganisationGUID-2024-11-13,Unit-Owner-OrganisationGUID
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-Name-2024-11-13,Unit-Owner-Organisation-Name
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-Representation-2024-11-13,Unit-Owner-Organisation-Representation
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-Representation-@language-2024-11-13,Unit-Owner-Organisation-Representation-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-Text-2024-11-13,Unit-Owner-Organisation-Text
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-Abbreviation-2024-11-13,Unit-Owner-Organisation-Abbreviation
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-OrgUnits-2024-11-13,Unit-Owner-Organisation-OrgUnits
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-OrgUnit-2024-11-13,Unit-Owner-Organisation-OrgUnit
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Organisation-OrgUnit-@language-2024-11-13,Unit-Owner-Organisation-OrgUnit-@language
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-Person-2024-11-13,Unit-Owner-Person
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-FullName-2024-11-13,Unit-Owner-FullName
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-SortingName-2024-11-13,Unit-Owner-SortingName
http://rs.tdwg.org/abcd2/terms/version/Unit-Owner-AtomisedName-2024-11-13,Unit-Owner-AtomisedName
