term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
UnitID,UnitID,"A unique identifier for the unit record within the data source. Preferably, the ID should be stable in the database, so that it also can be used to find the same record again (e.g. for data exchange purposes). Third part of the record identifier.",,,Property,Unit,True,False,/DataSets/DataSet/Units/Unit/UnitID,,Unit,2005-09-09,2005-09-09,
UnitIDNumeric,UnitIDNumeric,"The Numeric catalogue number for the unit. <br/><br/>Where present, the unit catalogue number facilitates sorting and allows for searches on a range of catalogue numbers.",,,Property,Unit,False,False,/DataSets/DataSet/Units/Unit/UnitIDNumeric,,Unit,2005-09-09,2005-09-09,
Unit-LastEditor,LastEditor,Name or other indication of the person or team that created or last edited this record.,,,Property,Unit,False,False,/DataSets/DataSet/Units/Unit/LastEditor,,Unit,2005-09-09,2005-09-09,
Unit-DateLastEdited,DateLastEdited,Date of creation or last change of this unit record.,,,Property,Unit,False,False,/DataSets/DataSet/Units/Unit/DateLastEdited,,Unit,2005-09-09,2005-09-09,
Unit-Owner,Owner,The legal owner of the unit record.,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner,,Unit,2005-09-09,2005-09-09,
Unit-Owner-Organisation,Organisation,Contact organisation for the legal owner of the unit record.,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Organisation,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-OrganisationGUID,OrganisationGUID,A globally unique identifier (GUID) for the organisation or organisational unit,,,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID,,Unit-Owner-Organisation,2007-06-13,2007-06-13,added in 2.06b
Unit-Owner-Organisation-Name,Name,Full organization or corporate name in multiple languages . (vCard:Org.OrgName). The Label mechanism also supports acronyms / abbreviations (no vCard equivalent!).,,en: Botanical Garden of ...; de: Botanischer Garten von ...,Class,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/Name,,Unit-Owner-Organisation,2005-09-09,2005-09-09,
Unit-Owner-Organisation-Representation,Representation,"A language-specific label representation of the organisation name of the owner of the unit record. The attribute @language lets you specify the language, the Representation mechanism makes it possible to ensure that only one name per language is specified.",,,Class,Unit-Owner,True,True,/DataSets/DataSet/Units/Unit/Owner/Organisation/Name/Representation,,Unit-Owner-Organisation-Name,2005-09-09,2005-09-09,
Unit-Owner-Organisation-Representation-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/Name/Representation/@language,,Unit-Owner-Organisation-Representation,2005-09-09,2005-09-09,
Unit-Owner-Organisation-Text,Text,Label text in a specific language representing the organisation of the legal owner of the unit record.,,,Property,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/Name/Representation/Text,,Unit-Owner-Organisation-Representation,2005-09-09,2005-09-09,
Unit-Owner-Organisation-Abbreviation,Abbreviation,"Label abbreviation representing the organisation of the legal owner of the unit record. Restricted to 50 characters maximum length, including blanks (shorter recommended!). Label abbreviations are especially important when displaying information in a tabular format.",,,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/Name/Representation/Abbreviation,,Unit-Owner-Organisation-Representation,2005-09-09,2005-09-09,
Unit-Owner-Organisation-OrgUnits,OrgUnits,If the contact contains no person definition: the unit within the organization the agent represents; else a list of the various organisational units to which a person may belong. (vCard:OrgUnit),,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/OrgUnits,,Unit-Owner-Organisation,2005-09-09,2005-09-09,
Unit-Owner-Organisation-OrgUnit,OrgUnit,"The organisational unit or subdivision with the organization, e.g. a department or working group.",,,Property,Unit-Owner,True,True,/DataSets/DataSet/Units/Unit/Owner/Organisation/OrgUnits/OrgUnit,,Unit-Owner-Organisation-OrgUnits,2005-09-09,2005-09-09,
Unit-Owner-Organisation-OrgUnit-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Organisation/OrgUnits/OrgUnit/@language,,Unit-Owner-Organisation-OrgUnit,2005-09-09,2005-09-09,
Unit-Owner-Person,Person,Person representing the owner of the unit record.,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-FullName,FullName,The name of person as normally used representing the legal owner of the unit record. <br/><br/>The name may include titles.,,Professor James Hundredwidth; Aylstone T. McTrace,Property,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/Person/FullName,,Unit-Owner-Person,2005-09-09,2005-09-09,
Unit-Owner-SortingName,SortingName,The full name of the owner of the unit record in a form appropriate for sorting alphabetically (vCard: Sort-String). The form consists of the following: Family name first followed by a comma then a space then given names or initials separated by a space.,,"Hundredwidth, James; McTrace, Aylstone T.",Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/SortingName,,Unit-Owner-Person,2005-09-09,2005-09-09,
Unit-Owner-AtomisedName,AtomisedName,Atomised name of the owner of the unit record.,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName,,Unit-Owner-Person,2005-09-09,2005-09-09,
Unit-Owner-InheritedName,InheritedName,"The inherited name of the owner of the unit record. This may consist of family names, generational names, a clan name, parents or grandparents personal names, etc. The inherited name (this being the lastname in western cultures) may be compound (e.g. 'Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture, the inherited name is not necessarily the name of the parents nor common to a married couple. Therefore, 'family name' should be avoided even though used in vCard (vCard: N-Family).",,,Property,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName/InheritedName,,Unit-Owner-AtomisedName,2005-09-09,2005-09-09,
Unit-Owner-AtomisedName-Prefix,Prefix,"The prefix to the unit record owner's inherited name. The prefix should be output before the name, but is usually not included in sorting. Compare Title for 'Prof', 'Dr.' (vCard: N-Prefix)",,von; Lord,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName/Prefix,,Unit-Owner-AtomisedName,2005-09-09,2005-09-09,
Unit-Owner-AtomisedName-Suffix,Suffix,"The suffix for the name of the owner of the unit record. The suffix should be output after the name, regardless of whether it is in sorting sequence (Inherited, Given) or not. (vCard: N-Suffix)",,Jun.; III.,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName/Suffix,,Unit-Owner-AtomisedName,2005-09-09,2005-09-09,
Unit-Owner-GivenNames,GivenNames,"The personal name of the legal owner of the unit record. The name given to the person as a personal name (the first or christian name in western cultures, including middle initials). The given name may contain several words. It is applicable only to people (vCard: N-Given + vCard: N-Middle).",,Wen; Jerry B.; Maria Teresa; Ichiro; Hans-Werner,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName/GivenNames,,Unit-Owner-AtomisedName,2005-09-09,2005-09-09,
Unit-Owner-PreferredName,PreferredName,The preferred name of the owner of the unit record. The preferred name may differ from the first given name (vCard: Nickname).,,Bob,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Person/AtomisedName/PreferredName,,Unit-Owner-AtomisedName,2005-09-09,2005-09-09,
Unit-Owner-Roles,Roles,A container element for several roles of the unit owner.,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Roles,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-Role,Role,Title for the role of the person or organisation that is the owner of the unit record. This element can be used to provide a title when no individual person is named.,,Database Administrator; Curator,Property,Unit-Owner,True,True,/DataSets/DataSet/Units/Unit/Owner/Roles/Role,,Unit-Owner-Roles,2005-09-09,2005-09-09,
Unit-Owner-Role-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Roles/Role/@language,,Unit-Owner-Role,2005-09-09,2005-09-09,
Unit-Owner-Addresses,Addresses,A container element for several contact addresses for the owner of the unit record (person or organisation).,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Addresses,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-Address,Address,A string representing the address of the owner of the unit record (person or organisation). <br/><br/>The attribute @preferred is used to indicate the preferred postal address.,,,Property,Unit-Owner,False,True,/DataSets/DataSet/Units/Unit/Owner/Addresses/Address,,Unit-Owner-Addresses,2005-09-09,2005-09-09,
Unit-Owner-Address-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Addresses/Address/@language,,Unit-Owner-Address,2005-09-09,2005-09-09,
Unit-Owner-Address-@preferred,preferred,The address marked as preferred by means of this attribute should be the first approached. The other addresses named should be regarded as alternate addresses.,,true,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/Addresses/Address/@preferred,,Unit-Owner-Address,2005-09-09,2005-09-09,
Unit-Owner-TelephoneNumbers,TelephoneNumbers,A container element for several telephone and fax numbers for the owner of the unit record (person or organisation).,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-TelephoneNumber,TelephoneNumber,Telephone or fax number for the legal owner of the unit record.,"Numbers should be provided in the ITU (International Telecommunication Union) international format (""+Country-Code Area-Code Number"").  \n\nThe preferred attribute @preferred indicates the preferred number.",+44 9876 543210,Class,Unit-Owner,False,True,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber,,Unit-Owner-TelephoneNumbers,2005-09-09,2005-09-09,
Unit-Owner-TelephoneNumber-@preferred,preferred,The telephone number marked as preferred by means of this attribute should be the first approached. The other telephone numbers should be regarded as alternative numbers.,,true,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber/@preferred,,Unit-Owner-TelephoneNumber,2005-09-09,2005-09-09,
Unit-Owner-Number,Number,Full telephone or fax number of the owner of the unit record.,"Numbers should be provided in the ITU (International Telecommunication Union) international format (""+Country-Code Area-Code Number"").  \n\nThe preferred attribute @preferred indicates the preferred number.",+44 9876 543210,Property,Unit-Owner,True,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber/Number,,Unit-Owner-TelephoneNumber,2005-09-09,2005-09-09,
Unit-Owner-Device,Device,The type of device reached by the telephone number of the owner of the unit record.,,voice; fax; voice/fax,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber/Device,,Unit-Owner-TelephoneNumber,2005-09-09,2005-09-09,
Unit-Owner-UsageNotes,UsageNotes,Free text describing constraints on use of the telephone number of the legal owner of the unit record.,,Weekdays only; Home number,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber/UsageNotes,,Unit-Owner-TelephoneNumber,2005-09-09,2005-09-09,
Unit-Owner-UsageNotes-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/TelephoneNumbers/TelephoneNumber/UsageNotes/@language,,Unit-Owner-UsageNotes,2005-09-09,2005-09-09,
Unit-Owner-EmailAddresses,EmailAddresses,A container element for several contact email addresses for the owner of the unit record (person or organisation).,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/EmailAddresses,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-EmailAddress,EmailAddress,A valid contact email address for the owner of the unit record. <br/><br/>The @preferred attribute indicates a preferred email address.,,any.person@example.org,Property,Unit-Owner,False,True,/DataSets/DataSet/Units/Unit/Owner/EmailAddresses/EmailAddress,,Unit-Owner-EmailAddresses,2005-09-09,2005-09-09,
Unit-Owner-EmailAddress-@preferred,preferred,The email address marked as preferred by means of this attribute should be the first approached. The other email addresses named should be regarded as alternative email addresses.,,true,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/EmailAddresses/EmailAddress/@preferred,,Unit-Owner-EmailAddress,2005-09-09,2005-09-09,
Unit-Owner-URIs,URIs,A container element for several URLs for websites representing the owner of the unit record (person or organisation).,,,Class,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/URIs,,Unit-Owner,2005-09-09,2005-09-09,
Unit-Owner-URI,URI,Publicly available URL for the person or organisation representing the legal owner of the unit record. <br/><br/>The @preferred attribute indicates the main URL.,,http://www.example.com/index.html,Property,Unit-Owner,False,True,/DataSets/DataSet/Units/Unit/Owner/URIs/URI,/DataSets/DataSet/Units/Unit/Owner/URIs/URL,Unit-Owner-URIs,2005-09-09,2006-10-09,
Unit-Owner-URI-@preferred,preferred,A flag to indicate that a URI is the preferred out of the multiple URIs specified.,,,Property,Unit-Owner,False,False,/DataSets/DataSet/Units/Unit/Owner/URIs/URI/@preferred,/DataSets/DataSet/Units/Unit/Owner/URIs/URL/@preferred,Unit-Owner-URI,2005-09-09,2006-10-09,
Unit-Owner-LogoURI,LogoURI,The URL of a logo image of the item or holding organisation representing the owner of the unit record. The logo image may give a quick indication of the source in result sets comprising data from several datasets.,,http://www.example.com/index.html,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/Owner/LogoURI,,Unit-Owner,2005-09-09,2005-09-09,
Unit-IPRStatements,IPRStatements,"A sequence of statements related to intellectual property rights, credit and acknowledgements for the individual unit record. Where different from equivalent statements on the level of the dataset, these take preference.",,copyright; terms of use; license; disclaimer or acknowledgement,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements,,Unit,2005-09-09,2005-09-09,
Unit-IPRDeclarations,IPRDeclarations,"A container element for several IPR declarations for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-IPRDeclaration,IPRDeclaration,IPR declaration for the unit record that is used when the IPR declaration cannot be parsed into the specific items or for forms of IPR declaration not yet covered.,,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations/IPRDeclaration,,Unit-IPRDeclarations,2005-09-09,2005-09-09,
Unit-IPRDeclaration-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations/IPRDeclaration/@language,,Unit-IPRDeclaration,2005-09-09,2005-09-09,
Unit-IPRDeclaration-Text,Text,"A concise representation of an IPR statement related to the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations/IPRDeclaration/Text,,Unit-IPRDeclaration,2005-09-09,2005-09-09,
Unit-IPRDeclaration-Details,Details,"Details related to the IPR declaration for the unit record. This is optional text of unconstrained length, elaborating details of the IPR declaration Text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations/IPRDeclaration/Details,,Unit-IPRDeclaration,2005-09-09,2005-09-09,
Unit-IPRDeclaration-URI,URI,An optional resource on the net providing details related to the IPR declaration for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/IPRDeclarations/IPRDeclaration/URI,,Unit-IPRDeclaration,2005-09-09,2005-09-09,
Unit-Copyrights,Copyrights,"Container element for one to several statements, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-Copyright,Copyright,A copyright statement for the unit record. The copyright may include the information that the data has been released to the public domain.,,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights/Copyright,,Unit-Copyrights,2005-09-09,2005-09-09,
Unit-Copyright-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights/Copyright/@language,,Unit-Copyright,2005-09-09,2005-09-09,
Unit-Copyright-Text,Text,"A concise representation of a copyright statement for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights/Copyright/Text,,Unit-Copyright,2005-09-09,2005-09-09,
Unit-Copyright-Details,Details,"Details related to the copyright declaration for the unit record. This is optional text of unconstrained length, elaborating details of the copyright declaration Text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights/Copyright/Details,,Unit-Copyright,2005-09-09,2005-09-09,
Unit-Copyright-URI,URI,An optional resource on the net providing details related to the copyright declaration for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Copyrights/Copyright/URI,,Unit-Copyright,2005-09-09,2005-09-09,
Unit-Licenses,Licenses,"A container element for several license statements for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-License,License,"A license statement for the unit record. This element is to be used if data are placed under a public license (GPL, GFDL, Open-Document). <br/><br/>Placing data under a public license while maintaining copyright is recommended!",,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License,,Unit-Licenses,2005-09-09,2005-09-09,
Unit-License-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/@language,,Unit-License,2005-09-09,2005-09-09,
Unit-License-Text,Text,"A concise representation of a license statement for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text,,Unit-License,2005-09-09,2005-09-09,
Unit-License-Details,Details,"Details related to the license declaration for the unit record. This is optional text of unconstrained length, elaborating details of the license declaration Text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Details,,Unit-License,2005-09-09,2005-09-09,
Unit-License-URI,URI,An optional resource on the net providing details related to the license declaration for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI,,Unit-License,2005-09-09,2005-09-09,
Unit-TermsOfUseStatements,TermsOfUseStatements,"A container element for several terms of use statements for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-TermsOfUseStatement,TermsOfUseStatement,"A terms of use statement for the unit record. This statement defines conditions under which the data may be analised, distributed or changed. <br/><br/>""Terms of use"" includes concepts like ""Usage conditions"" and ""Specific Restrictions"".",,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUseStatement,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUse,Unit-TermsOfUseStatements,2005-09-09,2012-11-26,
Unit-TermsOfUseStatement-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/@language,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUse/@language,Unit-TermsOfUseStatement,2005-09-09,2012-11-26,
Unit-TermsOfUseStatement-Text,Text,"Details related to the terms of use declaration for the unit record. This is optional text of unconstrained length, elaborating details of the terms of use declaration text.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/Text,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUse/Text,Unit-TermsOfUseStatement,2005-09-09,2012-11-26,
Unit-TermsOfUseStatement-Details,Details,"A concise representation of the terms of use for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/Details,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUse/Details,Unit-TermsOfUseStatement,2005-09-09,2012-11-26,
Unit-TermsOfUseStatement-URI,URI,An optional resource on the net providing details related to the terms of use declaration for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/URI,/DataSets/DataSet/Units/Unit/IPRStatements/TermsOfUseStatements/TermsOfUse/URI,Unit-TermsOfUseStatement,2005-09-09,2012-11-26,
Unit-Disclaimers,Disclaimers,"A container element for several disclaimer statements for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-Disclaimer,Disclaimer,A disclaimer statement for the unit record (e. g. concerning responsibility for data quality or legal implications).,,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers/Disclaimer,,Unit-Disclaimers,2005-09-09,2005-09-09,
Unit-Disclaimer-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers/Disclaimer/@language,,Unit-Disclaimer,2005-09-09,2005-09-09,
Unit-Disclaimer-Text,Text,"A concise representation of the disclaimer for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers/Disclaimer/Text,,Unit-Disclaimer,2005-09-09,2005-09-09,
Unit-Disclaimer-Details,Details,"Details related to the disclaimer for the unit record. This is optional text of unconstrained length, elaborating details of the diclaimer declaration Text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers/Disclaimer/Details,,Unit-Disclaimer,2005-09-09,2005-09-09,
Unit-Disclaimer-URI,URI,An optional resource on the net providing details related to the disclaimer declaration for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Disclaimers/Disclaimer/URI,,Unit-Disclaimer,2005-09-09,2005-09-09,
Unit-Acknowledgements,Acknowledgements,"A container element for several acknowledgements for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements,,Unit-IPRStatements,2005-09-09,2005-09-09,
Unit-Acknowledgement,Acknowledgement,A free form text acknowledging support for the unit record.,,grant money; help; permission to reuse published material; etc.,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements/Acknowledgement,,Unit-Acknowledgements,2005-09-09,2005-09-09,
Unit-Acknowledgement-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements/Acknowledgement/@language,,Unit-Acknowledgement,2005-09-09,2005-09-09,
Unit-Acknowledgement-Text,Text,"A concise representation of the acknowledgement for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements/Acknowledgement/Text,,Unit-Acknowledgement,2005-09-09,2005-09-09,
Unit-Acknowledgement-Details,Details,"Details related to the acknowledgement for the unit record. This is optional text of unconstrained length, elaborating details of the acknowledgements Text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements/Acknowledgement/Details,,Unit-Acknowledgement,2005-09-09,2005-09-09,
Unit-Acknowledgement-URI,URI,An optional resource on the net providing details related to the acknowledgement for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Acknowledgements/Acknowledgement/URI,,Unit-Acknowledgement,2005-09-09,2005-09-09,
Unit-Citations,Citations,"A container element for several citations for the unit record, normally representing different language representations of the same content.",,,Class,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Citations,,Unit-IPRStatements,2005-09-09,2005-09-09,
