term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
DataSets,DataSets,The root element of the schema. A container element for one or more datasets. It allows the handling of several different datasets with a single response operation.,,,Class,DataSet,True,False,/DataSets,,,2005-09-09,2005-09-09,
DataSet,DataSet,"A container element for one to many unit data records and their shared metadata elements. The metadata relate to the source, provision, ownership, and rights etc. of the entire dataset.",,,Class,DataSet,True,True,/DataSets/DataSet,,DataSets,2005-09-09,2005-09-09,
DatasetGUID,DatasetGUID,"A globally unique identifier (GUID) for the entire data collection (database, dataset) from which the present dataset was derived (the present dataset may be the result of a query).",,,Property,DataSet,False,False,/DataSets/DataSet/DatasetGUID,,DataSet,2005-09-09,2005-09-09,
DatasetID,DatasetID,Code or Identifier of the dataset (unique within the institution),,,Property,DataSet,True,False,/DataSets/DataSet/DatasetID,,DataSet,2012-11-26,2012-11-26,added in 2.06d
TechnicalContacts,TechnicalContacts,Container element for the technical contacts responsilbe for the data set.,,,Class,DataSet,False,False,/DataSets/DataSet/TechnicalContacts,,DataSet,2005-09-09,2005-09-09,
TechnicalContact,TechnicalContact,A technical contact normally representing the agent acting as the publisher of the dataset in the network.,,,Class,DataSet,True,True,/DataSets/DataSet/TechnicalContacts/TechnicalContact,,TechnicalContacts,2005-09-09,2005-09-09,
TechnicalContact-@preferred,preferred,A flag set to indicate the preferred technial contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/@preferred,,TechnicalContact,2005-09-09,2005-09-09,
TechnicalContact-Name,Name,"The name of a technical contact person, person team, or role (e.g. Webmaster) for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,,TechnicalContact,2005-09-09,2005-09-09,
TechnicalContact-Email,Email,Email address for the technical contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Email,,TechnicalContact,2005-09-09,2005-09-09,
TechnicalContact-Phone,Phone,Phone number for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Phone,,TechnicalContact,2005-09-09,2005-09-09,
TechnicalContact-Address,Address,Postal address for the technical contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/TechnicalContacts/TechnicalContact/Address,,TechnicalContact,2005-09-09,2005-09-09,
ContentContacts,ContentContacts,A container element for several administrative contacts for the dataset.,,,Class,DataSet,True,False,/DataSets/DataSet/ContentContacts,,DataSet,2005-09-09,2005-09-09,
ContentContact,ContentContact,An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.,,,Class,DataSet,True,True,/DataSets/DataSet/ContentContacts/ContentContact,,ContentContacts,2005-09-09,2005-09-09,
ContentContact-@preferred,preferred,A flag set to indicate the preferred administrative contact.,,true,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/@preferred,,ContentContact,2005-09-09,2005-09-09,
ContentContact-Name,Name,"Administrative contact person, person team, or role for the dataset.",,,Property,DataSet,True,False,/DataSets/DataSet/ContentContacts/ContentContact/Name,,ContentContact,2005-09-09,2005-09-09,
ContentContact-Email,Email,Email address for the administrative contact for the dataset.,,any.person@example.org,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Email,,ContentContact,2005-09-09,2005-09-09,
ContentContact-Phone,Phone,Phone number for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Phone,,ContentContact,2005-09-09,2005-09-09,
ContentContact-Address,Address,Postal address for the administrative contact for the dataset.,,,Property,DataSet,False,False,/DataSets/DataSet/ContentContacts/ContentContact/Address,,ContentContact,2005-09-09,2005-09-09,
DataSet-OtherProviders,OtherProviders,Other known on-line providers of this dataset.,,,Class,DataSet,False,False,/DataSets/DataSet/OtherProviders,,DataSet,2005-09-09,2005-09-09,
DataSet-OtherProvider,OtherProvider,The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.,,,Property,DataSet,True,True,/DataSets/DataSet/OtherProviders/OtherProvider,,DataSet-OtherProviders,2005-09-09,2005-09-09,
DataSet-Metadata,Metadata,"Metadata referring to the principal source of the entire data collection (the metadata scope may be wider than the objects actually contained in the data set). In its current form, this collection represents a mixture of elements useful for resource discovery (e.g. scope) with metadata actually pertaining to the received (partial) dataset.",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata,,DataSet,2005-09-09,2005-09-09,
DataSet-Description,Description,"Dublin Core conformant elements describing the content of the data source queried, representation in different languages possible",,,Class,DataSet,True,False,/DataSets/DataSet/Metadata/Description,,DataSet-Metadata,2005-09-09,2005-09-09,
DataSet-Representation,Representation,The description in a specified language. Only one representation should be delivered for each language.,,,Class,DataSet,True,True,/DataSets/DataSet/Metadata/Description/Representation,,DataSet-Description,2005-09-09,2005-09-09,
DataSet-Representation-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet,True,False,/DataSets/DataSet/Metadata/Description/Representation/@language,,DataSet-Representation,2005-09-09,2005-09-09,
