termList,term
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationQualifier
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationReferences
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identifiedBy
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/individualCount
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/informationWithheld
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/infraspecificEpithet
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/institutionCode
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/institutionID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/island
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/islandGroup
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/kingdom
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lifeStage
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/LivingSpecimen
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locality
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationAccordingTo
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/MachineObservation
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/MaterialSample
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/materialSampleID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementAccuracy
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementMethod
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementType
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementUnit
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementValue
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/member
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/month
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/municipality
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nameAccordingTo
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nameAccordingToID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/namePublishedIn
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/namePublishedInID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/namePublishedInYear
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nomenclaturalCode
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/Occurrence
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceStatus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/order
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/Organism
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismName
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismQuantity
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismQuantityType
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/organismScope
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/originalNameUsage
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/originalNameUsageID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/parentEventID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/parentNameUsage
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/parentNameUsageID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/phylum
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/preparations
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/PreservedSpecimen
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/previousIdentifications
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordedBy
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordNumber
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relatedResourceID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipOfResource
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/reproductiveCondition
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/resourceID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/ResourceRelationship
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/resourceRelationshipID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sampleSizeUnit
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sampleSizeValue
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/samplingEffort
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/samplingProtocol
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificName
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sex
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/specificEpithet
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/startDayOfYear
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/stateProvince
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/subgenus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/Taxon
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonConceptID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonID
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonomicStatus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRank
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRemarks
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/typeStatus
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimCoordinates
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimDepth
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimElevation
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimEventDate
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLatitude
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLocality
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLongitude
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimSRS
http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
